;Код ОВД     ;Год         ;Номер документа      ;Номер престу;Дата пос тановки  в ИЦ     ;Текст решения                                                                                                                                      ;Дата решения            ;Фамилия сл-ля                                            ;Шифр докумен;Дата соз дания за писи     ;Код принятого решения      ;Кто приня л решение (код)     
972;1;2014;1295401;1;25.01.2016;Возобн.приост.ст208ч.1п.2                         ;22.01.2016;ЧУПРАКОВА           ;3;26.01.2016;172;3
973;1;2014;1297201;1;25.01.2016;Возобн.приост.ст208ч.1п.1                         ;21.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
974;1;2014;1297301;1;29.02.2016;Возобн.приост.ст208ч.1п.1                         ;26.02.2016;ЧЕРЕПАНОВА          ;3;02.03.2016;174;5
975;1;2014;1297601;1;06.04.2016;Возобн.приост.ст208ч.1п.1                         ;03.04.2016;ОСИПОВА             ;3;07.04.2016;174;5
976;1;2014;1298701;1;06.04.2016;Возобн.приост.ст208ч.1п.1                         ;03.04.2016;ОСИПОВА             ;3;07.04.2016;174;5
977;1;2014;1298801;1;06.04.2016;Возобн.приост.ст208ч.1п.1                         ;03.04.2016;ОСИПОВА             ;3;07.04.2016;174;5
978;1;2014;1299201;1;25.01.2016;Возобн.приост.ст208ч.1п.1                         ;22.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
979;1;2014;1299301;1;28.01.2016;Возобн.приост.ст208ч.1п.1                         ;25.01.2016;ЧЕРЕПАНОВА          ;3;28.01.2016;174;5
980;1;2014;1299401;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
981;1;2014;1299601;1;25.01.2016;Возобн.приост.ст208ч.1п.1                         ;21.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
982;1;2014;1300101;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;25.05.2016;АФАНАСЬЕВА          ;3;31.05.2016;174;5
983;1;2014;1300401;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
984;1;2014;1300701;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
985;1;2014;1301001;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
986;1;2014;1301101;1;21.01.2016;Возобн.приост.ст208ч.1п.1                         ;20.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
