========================================================================================
РЕЕСТР УГОЛОВНЫХ ДЕЛ С ПОВТОРНЫМИ ОТМЕНАМИ И ВОЗОБНОВЛЕНИЯМИ (ВОЗОБНОВЛЕНИЙ > 1)
Дата формирования: 13.09.2026, 01:11:55
Всего дел в исходной базе: 6898
Всего дел с повторными возобновлениями: 2076
========================================================================================

[  71] ОВД: 37  | Дело №: 308837   | Возобновлений: [ 7] | Первая строка: 10461 | Даты: 03.03.2016, 30.05.2016
[  72] ОВД: 1   | Дело №: 59090    | Возобновлений: [ 6] | Первая строка: 443   | Даты: 15.05.2016, 17.02.2016, 27.07.2016
[  73] ОВД: 1   | Дело №: 395801   | Возобновлений: [ 6] | Первая строка: 1602  | Даты: 22.03.2016, 20.02.2016
[  74] ОВД: 1   | Дело №: 407101   | Возобновлений: [ 6] | Первая строка: 1683  | Даты: 21.03.2016, 20.02.2016
[  75] ОВД: 1   | Дело №: 421601   | Возобновлений: [ 6] | Первая строка: 1758  | Даты: 25.02.2016, 07.07.2016
[  76] ОВД: 1   | Дело №: 422101   | Возобновлений: [ 6] | Первая строка: 1766  | Даты: 09.03.2016
[  77] ОВД: 1   | Дело №: 424101   | Возобновлений: [ 6] | Первая строка: 1790  | Даты: 16.03.2016
[  78] ОВД: 2   | Дело №: 343602   | Возобновлений: [ 6] | Первая строка: 2969  | Даты: 16.05.2016, 15.07.2016, 24.06.2016, 31.03.2016
[  79] ОВД: 2   | Дело №: 394202   | Возобновлений: [ 6] | Первая строка: 3270  | Даты: 21.06.2016
[  80] ОВД: 2   | Дело №: 397702   | Возобновлений: [ 6] | Первая строка: 3293  | Даты: 27.06.2016, 28.07.2016, 16.05.2016
[  81] ОВД: 3   | Дело №: 190703   | Возобновлений: [ 6] | Первая строка: 3614  | Даты: 22.06.2016, 05.04.2016, 23.05.2016
[  82] ОВД: 3   | Дело №: 221903   | Возобновлений: [ 6] | Первая строка: 3637  | Даты: 08.04.2016, 19.05.2016, 13.04.2016, 03.02.2016, 09.02.2016
[  83] ОВД: 3   | Дело №: 233103   | Возобновлений: [ 6] | Первая строка: 3662  | Даты: 08.04.2016, 28.01.2016, 04.02.2016
[  84] ОВД: 3   | Дело №: 252303   | Возобновлений: [ 6] | Первая строка: 3715  | Даты: 06.02.2016
[  85] ОВД: 3   | Дело №: 333503   | Возобновлений: [ 6] | Первая строка: 4076  | Даты: 16.06.2016, 22.06.2016, 03.06.2016, 30.05.2016
